YJコード,医薬品名,需要タイプ名,製造販売元メーカー,在庫数,単位,置き場,最終処方日,最終処方量,不動期間,期限間近/期限切れ数量,直近の有効期限,単位薬価,在庫金額（薬価）,採用停止日,JANコード
5200122D1074,ツムラ半夏厚朴湯エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,945,g,,2026-03-21,70,18,0,2028-11-30,14.6,13797,,4987138801630
5200048D1070,ツムラ五苓散エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,797.5,g,,2026-03-30,150,9,0,2029-01-31,13.5,10766.25,,4987138801739
5200034D1044,ツムラ桂枝加朮附湯エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,230,g,,2026-03-25,140,14,0,2028-07-31,14.9,3427,,4987138801845
5200075D1086,ツムラ小青竜湯エキス顆粒（医療用）,分包/1g/3g,ツムラ,330,g,,2026-01-29,63,69,0,2028-12-31,12.8,4224,,4987138801937
5200129D1076,ツムラ防已黄耆湯エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,420,g,,2025-11-04,420,155,0,2028-09-30,9.6,4032,,4987138802040
5200111D1076,ツムラ当帰芍薬散エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,427.5,g,,2026-02-24,420,43,0,2028-07-31,14.9,6369.75,,4987138802347
5200017D1083,ツムラ加味逍遙散エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,627.5,g,,2026-03-26,75,13,0,2028-11-30,15.9,9977.25,,4987138802439
5200119D1030,ツムラ麦門冬湯エキス顆粒（医療用）,分包/1g/3g,ツムラ,435,g,,2026-02-18,180,49,0,2028-09-30,16.5,7177.5,,4987138802934
5200061D1025,ツムラ四逆散エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,410,g,,2026-03-24,210,15,0,2028-07-31,16.8,6888,,4987138803542
5200110D1047,ツムラ当帰四逆加呉茱萸生姜湯エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,497.5,g,,2025-05-19,175,324,0,2027-02-28,16.6,8258.5,,4987138803832
5200131D1065,ツムラ補中益気湯エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,837.5,g,,2026-03-24,210,15,0,2028-08-31,22.4,18760,,4987138804136
5200141D1034,ツムラ六君子湯エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,645,g,,2026-04-03,210,5,0,2028-11-30,17.9,11545.5,,4987138804334
5200069D1048,ツムラ十全大補湯エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,192.5,g,,2026-04-02,35,6,0,2028-10-31,18.4,3542,,4987138804846
5200139D1037,ツムラ抑肝散エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,680,g,,2026-04-07,150,1,0,2029-01-31,16.1,10948,,4987138805430
5200130D1060,ツムラ防風通聖散エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,157.5,g,,2026-04-06,420,2,0,2029-02-28,13.8,2173.5,,4987138806246
5200067D1049,ツムラ芍薬甘草湯エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,1135,g,,2026-03-24,262.5,15,0,2028-10-31,10.4,11804,,4987138806833
5200090D1030,ツムラ大黄甘草湯エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,322.5,g,,2026-03-04,230,35,0,2028-09-30,8,2580,,4987138808448
5200054D1033,ツムラ柴朴湯エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,165,g,,2026-01-21,420,77,0,2028-03-31,33.9,5593.5,,4987138809636
5200092D1020,ツムラ大建中湯エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,1410,g,,2026-03-12,210,27,0,2028-10-31,13.7,19317,,4987138810038
5200025D1029,ツムラ牛車腎気丸エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,175,g,,2026-03-07,87.5,32,0,2028-11-30,17.7,3097.5,,4987138810748
5200136D1033,ツムラ麻子仁丸エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,40,g,,2026-04-02,75,6,0,2028-12-31,9.9,396,,4987138812643
2439401G1024,テリボン皮下注２８．２μｇオートインジェクター,28.2μg1キット/1キット,旭化成ファーマ,8,キット,,2026-03-30,4,9,0,2027-05-31,5995,47960,,4987153090682
2456001F2023,プレドニゾロン錠１ｍｇ（旭化成）,PTP/1mg1錠/10錠,旭化成ファーマ,1298,錠,,2026-04-04,70,4,0,2028-05-31,8.9,11552.2,,4987153136649
2456001F1345,プレドニゾロン錠５ｍｇ（旭化成）,PTP/5mg1錠/10錠,旭化成ファーマ,398,錠,,2026-04-04,35,4,0,2030-04-30,10.1,4019.8,,4987153136922
1129007F1107,ゾピクロン錠７．５ｍｇ「トーワ」,PTP/7.5mg1錠/10錠,東和薬品,168,錠,,2026-04-02,30,6,0,2028-04-30,10.8,1814.4,,4987155010107
2329002F2181,アルジオキサ錠１００ｍｇ「トーワ」,PTP/100mg1錠/10錠,東和薬品,130,錠,,2026-03-17,10,22,0,2027-08-31,10.8,1404,,4987155023138
2171701S6040,ニトログリセリンテープ２７ｍｇ「トーワ」,包装小/(27mg)9.6cm(2)1枚/1枚,東和薬品,235,枚,,2026-04-07,35,1,0,2027-04-30,51.3,12055.5,,4987155048087
3150002F1280,トコフェロール酢酸エステル錠５０ｍｇ「トーワ」,PTP/50mg1錠/10錠,東和薬品,254,錠,,2026-02-27,90,40,0,2028-06-30,6.3,1600.2,,4987155050158
2132004F1103,ヒドロクロロチアジド錠２５ｍｇ「トーワ」,PTP/25mg1錠/10錠,東和薬品,77.5,錠,,2026-04-04,8.75,4,0,2029-02-28,6.3,488.25,,4987155073126
2171017F2172,ニコランジル錠５ｍｇ「トーワ」,PTP/5mg1錠/10錠,東和薬品,442,錠,,2026-04-06,18,2,0,2028-07-31,6.3,2784.6,,4987155108101
2190006M1210,トコフェロールニコチン酸エステルカプセル１００ｍｇ「トーワ」,PTP/100mg1カプセル/10カプセル,東和薬品,712,カプセル,,2025-07-05,273,277,0,2027-12-31,6.3,4485.6,,4987155112122
3962002F2086,メトホルミン塩酸塩錠２５０ｍｇＭＴ「トーワ」,PTP/250mg1錠/10錠,東和薬品,517,錠,,2026-04-07,70,1,0,2028-06-30,10.8,5583.6,,4987155138108
1124003F2249,ニトラゼパム錠５ｍｇ「トーワ」,PTP/5mg1錠/10錠,東和薬品,202,錠,,2026-04-03,19,5,0,2028-08-31,6.3,1272.6,,4987155162073
1179044F4109,オランザピンＯＤ錠５ｍｇ「トーワ」,PTP/5mg1錠/10錠,東和薬品,59,錠,,2026-04-06,70,2,0,2027-11-30,16,944,,4987155270044
2329022H2201,オメプラゾール錠１０ｍｇ「トーワ」,PTP/10mg1錠/10錠,東和薬品,271,錠,,2026-03-23,30,16,0,2028-04-30,13.4,3631.4,,4987155785050
1129007F2073,ゾピクロン錠１０ｍｇ「トーワ」,PTP/10mg1錠/10錠,東和薬品,90,錠,,2025-09-20,14,200,0,2027-08-31,10.8,972,,4987155815047
1139004G2080,バルプロ酸ナトリウム徐放錠Ａ２００ｍｇ「トーワ」,PTP/200mg1錠/10錠,東和薬品,109,錠,,2026-03-23,70,16,0,2028-08-31,10.8,1177.2,,4987155865028
2639700N1067,ナジフロキサシンクリーム１％「トーワ」,包装小/1%1g/10g,東和薬品,200,g,,2026-03-21,10,18,0,2028-09-30,17,3400,,4987155871029
1231014F1054,ウブレチド錠５ｍｇ,PTP/5mg1錠/10錠,鳥居,2.5,錠,,2025-09-20,14,200,0,2029-05-31,11.3,28.25,,4987158102038
2646717N1083,ロコイドクリーム０．１％,包装小/0.1%1g/5g,鳥居,95,g,,2026-03-21,10,18,0,2028-08-31,14.9,1415.5,,4987158134008
2646730Q1026,アンテベートローション０．０５％,包装小/0.05%1g/10g,鳥居,130,g,,2026-03-21,60,18,0,2028-10-31,18.9,2457,,4987158143215
2646730M1059,アンテベート軟膏０．０５％,包装小/0.05%1g/5g,鳥居,-2715,g,,2026-04-06,50,,0,,18.9,-51313.5,,4987158144007
2646730M1059,アンテベート軟膏０．０５％,調剤用/0.05%1g,鳥居,2920,g,,2026-03-14,100,25,0,2028-03-31,18.9,55188,,4987158144052
2646730N1054,アンテベートクリーム０．０５％,包装小/0.05%1g/5g,鳥居,55,g,,2026-04-02,30,6,0,2028-06-30,18.9,1039.5,,4987158145004
2646717M1096,ロコイド軟膏０．１％,包装小/0.1%1g/5g,鳥居,-840,g,,2026-04-02,25,,0,,14.9,-12516,,4987158151005
2646717M1096,ロコイド軟膏０．１％,調剤用/0.1%1g,鳥居,1235,g,,2026-03-14,10,25,0,2029-02-28,14.9,18401.5,,4987158151043
2646729M1048,エクラー軟膏０．３％,包装小/0.3%1g/10g,久光,115,g,,2026-03-28,5,11,0,2028-01-31,11,1265,,4987188492031
2699714M1029,コレクチム軟膏０．５％,包装小/0.5%1g/5g,日本たばこ,115,g,,2026-03-30,50,9,0,2028-06-30,141.2,16238,,4987158328506
2661701X1020,スピール膏Ｍ,包装小/25cm(2)1枚/1枚,ニチバン,7,枚,,2026-03-14,2,25,0,2028-02-29,70.6,494.2,,4987167005481
2399012M1034,サリグレンカプセル３０ｍｇ,PTP/30mg1カプセル/10カプセル,日本化薬,69,カプセル,,2026-04-04,126,4,0,2028-05-31,54.5,3760.5,,4987170005355
2171018K1039,ニトロペン舌下錠０．３ｍｇ,PTP/0.3mg1錠/10錠,日本化薬,100,錠,,2025-09-24,4,196,0,2027-10-31,9.8,980,,4987170006451
4291010F1090,アナストロゾール錠１ｍｇ「ＮＫ」,PTP/1mg1錠/10錠,日本化薬,56,錠,,2026-03-16,28,23,0,2030-04-30,50.8,2844.8,,4987170008295
2399706M1125,デキサメタゾン口腔用軟膏０．１％「ＮＫ」,包装小/0.1%1g/2g,日本化薬,20,g,,2026-02-27,2,40,0,2028-03-31,35.3,706,,4987170020396
2399706M1125,デキサメタゾン口腔用軟膏０．１％「ＮＫ」,包装小/0.1%1g/5g,日本化薬,49,g,,2026-03-05,5,34,0,2029-05-31,35.3,1729.7,,4987170020419
2649716M1042,アズノール軟膏０．０３３％,調剤用/0.033%10g,日本新薬,-755,g,,2026-03-30,20,,0,,9.2,-6946,,4987173016358
2649716M1042,アズノール軟膏０．０３３％,包装小/0.033%10g/20g,日本新薬,1775,g,,2026-04-06,100,2,0,2028-07-31,9.2,16330,,4987173016365
1149038F1024,トラマールＯＤ錠２５ｍｇ,PTP/25mg1錠/10錠,日本新薬,250,錠,,2026-02-09,189,58,0,2028-02-29,13.9,3475,,4987173018550
1149038F2020,トラマールＯＤ錠５０ｍｇ,PTP/50mg1錠/10錠,日本新薬,120,錠,,2026-04-02,70,6,0,2028-04-30,23.6,2832,,4987173018581
1149038G1020,ワントラム錠１００ｍｇ,PTP/100mg1錠/10錠,日本新薬,37,錠,,2026-04-04,63,4,0,2028-11-30,41.6,1539.2,,4987173018758
1149023F1036,ノイロトロピン錠４単位,PTP/4単位1錠/10錠,日本臓器,501,錠,,2026-03-28,112,11,0,2029-07-31,28.1,14078.1,,4987174111311
1149038G2026,ツートラム錠５０ｍｇ,PTP/50mg1錠/10錠,日本臓器,218,錠,,2025-12-05,126,124,0,2029-11-30,42.3,9221.4,,4987174186012
3339950R1169,ヘパリン類似物質外用泡状スプレー０．３％「日本臓器」,包装小/1g/100g,日本臓器,400,g,,2026-04-03,200,5,0,2028-05-31,6.3,2520,,4987174422011
4490025R1020,オロパタジン塩酸塩ドライシロップ１％「日本臓器」,分包/1%1g/0.25g,日本臓器,81.25,g,,2026-03-24,14,15,0,2028-08-31,38.6,3136.25,,4987174423032
3999018F2028,フォサマック錠３５ｍｇ,PTP/35mg1錠/2錠,ＭＳＤ,7,錠,,2026-03-18,9,21,0,2027-07-31,166.3,1164.1,,4987954808455
3969010F2030,ジャヌビア錠５０ｍｇ,PTP/50mg1錠/10錠,ＭＳＤ,130,錠,,2026-03-31,30,8,0,2027-04-30,78.3,10179,,4987185809900
2149039F1031,ニューロタン錠２５ｍｇ,PTP/25mg1錠/10錠,ＭＳＤ,172,錠,,2026-03-07,120,32,0,2026-11-30,18.2,3130.4,,4987954807663
2149039F2038,ニューロタン錠５０ｍｇ,PTP/50mg1錠/10錠,ＭＳＤ,11,錠,,2025-02-25,120,407,0,2027-02-28,33.4,367.4,,4987954807700
1190023F1024,ベルソムラ錠１５ｍｇ,PTP/15mg1錠/10錠,ＭＳＤ,248,錠,,2026-04-04,35,4,0,2027-10-31,90.8,22518.4,,4987081109210
2189101F1020,アトーゼット配合錠ＬＤ,PTP/1錠/10錠,ＭＳＤ,15,錠,,2026-03-18,30,21,0,2027-02-28,50.4,756,,4987954810120
2189102F2020,ロスーゼット配合錠ＨＤ,PTP/1錠/10錠,ＭＳＤ,187,錠,,2026-03-24,70,15,0,2027-10-31,56,10472,,4987341113247
2646729S2035,エクラープラスター２０μｇ／ｃｍ２,包装小/(1.5mg)7.5cm×10cm/10CM,久光,220,CM,,2025-11-22,50,137,0,2028-05-31,3.38,743.6,,4987188402061
2649729S5028,モーラスパップＸＲ１２０ｍｇ,包装小/10cm×14cm1枚/7枚,久光,56,枚,,2026-04-01,63,7,0,2027-11-30,27.3,1528.8,,4987188407004
2649729S6024,モーラスパップＸＲ２４０ｍｇ,包装小/20cm×14cm1枚/7枚,久光,84,枚,,2026-04-04,63,4,0,2027-08-31,41.5,3486,,4987188407035
2649729S1154,モーラスパップ３０ｍｇ,包装小/10cm×14cm1枚/7枚,久光,112,枚,,2025-08-07,63,244,0,2028-05-31,18.2,2038.4,,4987188411070
2649729S4030,モーラスパップ６０ｍｇ,包装小/20cm×14cm1枚/7枚,久光,147,枚,,2026-04-02,63,6,0,2028-12-31,20.1,2954.7,,4987188411179
2649729S2169,モーラステープ２０ｍｇ,包装小/7cm×10cm1枚/7枚,久光,126,枚,,2026-03-23,35,16,0,2027-11-30,18.1,2280.6,,4987188412077
2649729S3084,モーラステープＬ４０ｍｇ,包装小/10cm×14cm1枚/7枚,久光,637,枚,,2026-04-06,28,2,0,2027-12-31,26.6,16944.2,,4987188412565
2649729Q2030,セクターローション３％,調剤用/3%1mL,久光,400,mL,,2026-03-30,100,9,0,2028-03-31,4.4,1760,,4987188415160
2649735S2270,ロキソプロフェンＮａテープ５０ｍｇ「久光」,包装小/7cm×10cm1枚/7枚,久光,126,枚,,2026-04-07,63,1,0,2027-10-31,13.1,1650.6,,4987188415801
2649734Q1050,ナボールゲル１％,包装小/1%1g/25g,久光,-250,g,,2026-02-09,75,,0,,5.3,-1325,,4987188425114
1141700J3021,アルピニー坐剤２００,包装小/200mg1個/5個,久光,10,個,,2025-08-01,10,250,0,2027-08-31,21.6,216,,4987188490617
2132003F3020,トリクロルメチアジド錠１ｍｇ「ＮＰ」,PTP/1mg1錠/10錠,ニプロ,348,錠,,2026-03-16,56,23,0,2027-09-30,10.8,3758.4,,4987190016300
2189015F1090,アトルバスタチン錠５ｍｇ「ＮＰ」,PTP/5mg1錠/10錠,ニプロ,512.5,錠,,2026-04-07,30,1,0,2027-08-31,10.8,5535,,4987190061409
3999014M1065,タクロリムスカプセル１ｍｇ「ニプロ」,PTP/1mg1カプセル/10カプセル,ニプロ,132,カプセル,,2026-04-02,126,6,0,2027-10-31,153.5,20262,,4987190071804
2290801G2050,ブデホル吸入粉末剤６０吸入「ニプロ」,包装小/60吸入1キット/1キット,ニプロ,4,キット,,2026-03-30,2,9,0,2027-09-30,1176.1,4704.4,,4987190079701
4490022F4037,ベポタスチンベシル酸塩ＯＤ錠１０ｍｇ「タナベ」,PTP/10mg1錠/10錠,ニプロＥＳファーマ,470,錠,,2026-03-30,120,9,0,2028-04-30,10.8,5076,,4987190510808
4490028Q1079,レボセチリジン塩酸塩シロップ０．０５％「ニプロ」,調剤用/0.05%1mL,東亜薬品,504.5,mL,,2026-03-17,140,22,0,2027-10-31,7.1,3581.95,,4987190511300
1169101F1170,ドパコール配合錠Ｌ１００,PTP/1錠/10錠,ダイト,611,錠,,2026-04-07,135,1,0,2028-01-31,7.9,4826.9,,4987197483204
4490023F1024,アレグラ錠６０ｍｇ,PTP/60mg1錠/10錠,サノフィ,81,錠,,2026-03-23,62,16,0,2027-05-31,20.9,1692.9,,4987199100420
3999020F1029,アラバ錠１０ｍｇ,PTP/10mg1錠/10錠,サノフィ,122,錠,,2026-04-03,63,5,0,2028-04-30,70.2,8564.4,,4987199101311
6149002F1029,ルリッド錠１５０,PTP/150mg1錠/10錠,サノフィ,160,錠,,2026-03-23,28,16,0,2027-06-30,18.7,2992,,4987199232862
2357701K6220,グリセリン浣腸液５０％「ムネ」６０ｍＬ,包装小/50%60mL1個/1個,ムネ,17,個,,2025-09-18,10,202,0,2028-01-31,124.2,2111.4,,4987211123710
2559808M1020,強力ポステリザン（軟膏）,包装小/1g/2g,マルホ,178,g,,2025-09-06,56,214,0,2027-03-31,20.1,3577.8,,4987213021304
3339950M1137,ヒルドイドソフト軟膏０．３％,包装小/1g/25g,マルホ,-4155,g,,2026-04-06,50,,0,,17.7,-73543.5,,4987213052810
3339950M1137,ヒルドイドソフト軟膏０．３％,調剤用/1g,マルホ,6025,g,,2026-03-28,15,11,0,2028-07-31,17.7,106642.5,,4987213052872
3339950Q1074,ヒルドイドローション０．３％,包装小/1g/25g,マルホ,625,g,,2026-02-14,100,53,0,2027-09-30,17.7,11062.5,,4987213053510
2691702Q1020,オキサロールローション２５μｇ／ｇ,包装小/0.0025%1g/10g,マルホ,-10,g,,2026-03-28,10,,0,,39.2,-392,,4987213101105
6429008F1020,ストロメクトール錠３ｍｇ,PTP/3mg1錠/10錠,ＭＳＤ,19,錠,,2026-01-10,10,88,0,2027-08-31,539.4,10248.6,,4987213104113
2699703M1039,アクトシン軟膏３％,包装小/3%1g/30g,ニプロファーマ,90,g,,2025-11-08,30,151,0,2027-06-30,45.5,4095,,4987213109101
2699712Q1021,ベピオゲル２．５％,包装小/2.5%1g/15g,マルホ,195,g,,2026-03-28,30,11,0,2027-05-31,84.9,16555.5,,4987213109408
2639701Q1025,ゼビアックスローション２％,包装小/2%1g/10g,マルホ,40,g,,2026-01-10,30,88,0,2028-02-29,43.1,1724,,4987213109507
2699805Q1020,エピデュオゲル,包装小/1g/15g,マルホ,135,g,,2026-03-23,30,16,0,2027-02-28,83.5,11272.5,,4987213110107
2399710E1046,ＳＰトローチ０．２５ｍｇ「明治」,PTP/0.25mg1錠/12錠,ＭｅｉｊｉＳｅｉｋａ,1045,錠,,2026-03-19,24,20,0,2028-11-30,6.3,6583.5,,4987222697415
1179041F1300,パロキセチン錠１０ｍｇ「明治」,PTP/10mg1錠/10錠,ＭｅｉｊｉＳｅｉｋａ,134,錠,,2026-04-02,29,6,0,2027-10-31,12.7,1701.8,,4987222715478
2149120F1027,アテディオ配合錠,PTP/1錠/10錠,ＥＡファーマ,96,錠,,2026-03-02,60,37,0,2028-03-31,29.3,2812.8,,4987224001357
2359008F1025,グーフィス錠５ｍｇ,PTP/5mg1錠/10錠,ＥＡファーマ,201,錠,,2026-03-13,28,26,0,2028-04-30,77.4,15557.4,,4987224044903
2439402G1029,テリパラチドＢＳ皮下注キット６００μｇ「モチダ」,600μg1キット/1キット,持田,0,キット,,2026-04-01,1,,0,,14924,0,,4987224087399
6290003X1039,フロリードゲル経口用２％,包装小/2%1g/5g,持田,10,g,,2025-06-06,5,306,10,2026-10-31,98.2,982,,4987224108100
3339950R1126,ヘパリン類似物質外用スプレー０．３％「日医工」,包装小/1g/100g,日医工,1500,g,,2026-04-04,200,4,0,2028-07-31,6.3,9450,,4987376593618
3339950Q1139,ヘパリン類似物質ローション０．３％「日医工」,包装小/1g/50g,帝國製薬,1400,g,,2026-03-31,150,8,0,2028-08-31,6.3,8820,,4987376559904
3949005F1022,ユリス錠０．５ｍｇ,PTP/0.5mg1錠/10錠,富士薬品,140,錠,,2026-03-30,28,9,0,2027-09-30,22.9,3206,,4987224143774
3949005F2029,ユリス錠１ｍｇ,PTP/1mg1錠/10錠,富士薬品,139,錠,,2026-04-06,35,2,0,2028-03-31,41.7,5796.3,,4987224143811
6241017F1022,ジェニナック錠２００ｍｇ,PTP/200mg1錠/10錠,富士フイルム富山化学,10,錠,,2025-08-21,14,230,10,2026-10-31,134.5,1345,,4987233001553
2149117F2021,ミカムロ配合錠ＢＰ,PTP/1錠/10錠,日本ベーリンガー,163,錠,,2026-03-05,35,34,0,2027-03-31,35,5705,,4987413590617
2189015F2020,リピトール錠１０ｍｇ,PTP/10mg1錠/10錠,アステラス,106,錠,,2026-03-23,31,16,0,2027-07-31,16.9,1791.4,,4987901017701
2590014F2028,ベタニス錠５０ｍｇ,PTP/50mg1錠/10錠,アステラス,59,錠,,2026-04-07,30,1,0,2028-06-30,136.8,8071.2,,4987233103042
2590014F1021,ベタニス錠２５ｍｇ,PTP/25mg1錠/10錠,アステラス,16,錠,,2026-01-15,84,83,0,2028-04-30,80.9,1294.4,,4987233103011
3969018F1022,スーグラ錠２５ｍｇ,PTP/25mg1錠/10錠,アステラス,201,錠,,2026-03-06,126,33,0,2027-04-30,97,19497,,4987233103271
2190016Q2034,ポリスチレンスルホン酸Ｃａ経口ゼリー２０％分包２５ｇ「三和」,包装小/20%25g1個/1個,三和化学,47,個,,2025-09-09,38,211,0,2027-12-31,77.8,3656.6,,4987086390644
1129009F1025,マイスリー錠５ｍｇ,PTP/5mg1錠/10錠,アステラス,87,錠,,2026-04-07,30,1,0,2027-12-31,13.8,1200.6,,4987233131762
1129009F2021,マイスリー錠１０ｍｇ,PTP/10mg1錠/10錠,アステラス,100,錠,,2026-04-03,30,5,0,2027-06-30,21.5,2150,,4987233731825
2699709M2024,プロトピック軟膏０．０３％小児用,包装小/0.03%1g/5g,マルホ,50,g,,2026-02-28,50,39,0,2027-02-28,62,3100,,4987213109316
1319722Q1295,オフロキサシン点眼液０．３％「わかもと」,包装小/0.3%1mL/5mL,富士薬品,10,mL,,2026-02-18,5,49,10,2026-06-30,28.3,283,,4987243320361
2646713M1136,デルモベート軟膏０．０５％,包装小/0.05%1g/5g,ＧＳＫ,-330,g,,2026-03-28,5,,0,,0,0,,4987246706148
2646713Q1081,デルモベートスカルプローション０．０５％,包装小/0.05%1g/10g,ＧＳＫ,140,g,,2025-12-27,60,102,0,2027-10-31,0,0,,4987246706179
2646713M1136,デルモベート軟膏０．０５％,包装小/0.05%1g/30g,ＧＳＫ,385,g,,2025-12-13,30,116,0,2028-06-30,0,0,,4987246706193
1179041G2027,パキシルＣＲ錠２５ｍｇ,PTP/25mg1錠/14錠,ＧＳＫ,10,錠,,2025-02-10,60,422,0,2027-04-30,42.6,426,,4987246716208
2290700G5021,フルタイド１００ディスカス,包装小/100μg60ブリスター1個/1個,ＧＳＫ,0,個,,2026-04-06,2,,0,,746.8,0,,4987246717397
6139100F2044,オーグメンチン配合錠２５０ＲＳ,PTP/(375mg)1錠/6錠,ＧＳＫ,61,錠,,2026-04-03,6,5,0,2027-09-30,45.7,2787.7,,4987246718226
3999005F1059,イムラン錠５０ｍｇ,PTP/50mg1錠/10錠,アスペン,167,錠,,2026-01-21,84,77,0,2029-04-30,65.3,10905.1,,4987614437506
2290800G4031,アドエア１００ディスカス６０吸入用,包装小/60ブリスター1キット/1キット,ＧＳＫ,1,キット,,2026-04-06,1,2,0,2027-06-30,3006.5,3006.5,,4987246745208
2290800G5038,アドエア２５０ディスカス６０吸入用,包装小/60ブリスター1キット/1キット,ＧＳＫ,2,キット,,2026-03-24,1,15,0,2027-10-31,3509.4,7018.8,,4987246745222
2290800G6034,アドエア５００ディスカス６０吸入用,包装小/60ブリスター1キット/1キット,ＧＳＫ,1,キット,,2026-02-06,1,61,0,2027-04-30,3821.5,3821.5,,4987246745246
2290803G3020,レルベア１００エリプタ３０吸入用,包装小/30吸入1キット/1キット,ＧＳＫ,2,キット,,2026-02-09,1,58,0,2027-05-31,4692.9,9385.8,,4987246767033
2290803G4027,レルベア２００エリプタ３０吸入用,包装小/30吸入1キット/1キット,ＧＳＫ,2,キット,,2026-03-14,1,25,0,2027-07-31,5072.6,10145.2,,4987246767040
3999445G2023,ベンリスタ皮下注２００ｍｇオートインジェクター,200mg1mL1キット/1キット,ＧＳＫ,9,キット,,2026-04-04,3,4,0,2028-03-31,26873,241857,,4987246779012
2290804G2029,テリルジー１００エリプタ３０吸入用,包装小/30吸入1キット/1キット,ＧＳＫ,1,キット,,2026-04-02,2,6,0,2027-07-31,8502.3,8502.3,,4987246783026
2171008F1126,ベラパミル塩酸塩錠４０ｍｇ「ツルハラ」,PTP/40mg1錠/10錠,鶴原,15,錠,,2025-11-06,105,153,0,2030-05-31,6.8,102,,4987271064459
6290100F2107,ダイフェン配合錠,PTP/1錠/10錠,鶴原,350,錠,,2026-04-04,13,4,0,2029-02-28,13.2,4620,,4987271134152
3222012Q1030,インクレミンシロップ５％,調剤用/1mL,アルフレッサファーマ,250,mL,,2024-10-29,900,526,0,2027-09-30,7.1,1775,,4987274057137
6173001Q1047,ファンギゾンシロップ１００ｍｇ／ｍＬ,包装小/100mg1mL/24mL,クリニジェン,24,mL,,2026-01-08,24,90,0,2026-12-31,54.6,1310.4,,4987994500203
2900001F1029,セファランチン錠１ｍｇ,PTP/1mg1錠/10錠,メディサ,444,錠,,2026-01-21,336,77,0,2030-04-30,6.3,2797.2,,4987280292249
7121703X1089,白色ワセリン「ケンエー」,調剤用/10g,健栄,100,g,,2026-04-06,200,2,0,2030-01-31,3.16,316,,4987286202303
2260700F1102,アズレンうがい液４％「ケンエー」,包装小/4%1mL/5mL,健栄,35,mL,,2026-03-27,10,12,0,2028-07-31,21.1,738.5,,4987286212029
2260701F1417,ポビドンヨードガーグル液７％「ケンエー」,包装小/7%1mL/30mL,健栄,570,mL,,2026-01-30,30,68,0,2027-03-31,3.2,1824,,4987286216195
2649704M1112,亜鉛華軟膏〈ハチ〉,調剤用/10g,東洋製化,305,g,,2026-03-28,15,11,0,2028-09-30,2.55,777.75,,4987286403618
2344009F2090,酸化マグネシウム錠３３０ｍｇ「ヨシダ」,PTP/330mg1錠/10錠,吉田製薬,1109,錠,,2026-04-07,336,1,0,2028-08-31,6.1,6764.9,,4987288435310
2344009F1094,酸化マグネシウム錠２５０ｍｇ「ヨシダ」,PTP/250mg1錠/10錠,吉田製薬,343,錠,,2026-04-03,56,5,0,2028-03-31,6.1,2092.3,,4987885016004
2649896S1022,ロコアテープ,包装小/10cm×14cm1枚/7枚,大正製薬,189,枚,,2026-04-03,35,5,0,2027-09-30,30.1,5688.9,,4987306014503
3112001F3058,ワンアルファ錠１．０μｇ,PTP/1μg1錠/10錠,帝人ファーマ,42,錠,,2026-03-18,32,21,0,2027-02-28,9.8,411.6,,4987294311707
2646721Q1051,パンデルローション０．１％,包装小/0.1%1mL/10mL,大正製薬,130,mL,,2026-03-26,30,13,0,2028-04-30,14.3,1859,,4987306048928
2646721M1068,パンデル軟膏０．１％,調剤用/0.1%1g,大正製薬,240,g,,2025-12-27,10,102,40,2026-08-31,14.3,3432,,4987306049116
2649731M1098,フェルビナクスチック軟膏３％「三笠」,包装小/3%1g/40g,三笠,960,g,,2026-04-04,80,4,0,2028-07-31,4.5,4320,,4987306060128
2316009C1026,ミヤＢＭ細粒,分包/1g/1g,ミヤリサン,257.6,g,,2026-02-12,42,55,0,2028-03-31,6.7,1725.92,,4987312121349
2316009F1022,ミヤＢＭ錠,PTP/1錠/10錠,ミヤリサン,599,錠,,2026-04-08,336,0,0,2029-01-31,6.1,3653.9,,4987312126634
2647709M1145,ベトノバールＧ軟膏０．１２％,包装小/1g/5g,佐藤製薬,215,g,,2026-04-04,10,4,0,2028-05-31,27.7,5955.5,,4987316122038
2634713M1020,ダラシンＴゲル１％,包装小/1%1g/10g,佐藤製薬,110,g,,2026-02-27,10,40,10,2026-07-31,19.6,2156,,4987316128085
